"Date","Time","Product_ID"

"2019/05/31","17:30:55","logitech
"

"2019/05/31","17:46:12","ogitech
"

"06/01/19","10:35:16","logitech"
"06/01/19","10:40:49","logitech"
"06/01/19","10:42:56","logitech"
"06/01/19","10:43:35","logitech"
"06/01/19","12:57:51","logitech"

"06/01/19","12:59:07","ogitech"

"06/01/19","13:07:05","logitech ."

"06/01/19","13:11:15","logitech |"

"06/01/19","13:13:54","logitech"

"06/01/19","13:14:48","ogitech"

"06/01/19","14:17:08","logitech"

"06/01/19","14:17:22","logitech"

"06/01/19","15:19:51","datasets/ofaj_1559382587954.png","logitechï¿½"

"06/01/19","15:26:18","datasets/ofaj_1559382976487.png","potiech'"

"06/01/19","15:35:22","datasets/ofaj_1559383519892.png","logitech"

"06/01/19","15:36:29","datasets/ofaj_1559383587933.png","ogitech"

"06/01/19","15:37:34","datasets/ofaj_1559383652798.png","logitech"

"06/01/19","15:40:42","datasets/ofaj_1559383840538.png","logitech"

"06/01/19","16:29:42","datasets/ofaj_1559386779735.png","1ZZ1H833"

"06/01/19","16:29:59","datasets/ofaj_1559386797782.png","12ZH832"

"06/01/19","16:31:24","datasets/ofaj_1559386882292.png","1ZZH833"

"06/01/19","16:34:26","datasets/ofaj_1559387064292.png","IZZH833"

"06/01/19","16:36:11","datasets/ofaj_1559387169528.png","MZZH833"

"06/01/19","16:37:19","datasets/ofaj_1559387237351.png","4ZZH834"

"06/01/19","16:37:43","datasets/ofaj_1559387261610.png","42ZH833"

"06/01/19","16:37:50","datasets/ofaj_1559387268157.png","IZZH83g"

"06/06/19","14:21:18","datasets/ofaj_1559811076931.png","17ZH833"

"06/06/19","14:22:05","datasets/ofaj_1559811123507.png","17ZH333"

"06/06/19","14:22:19","datasets/ofaj_1559811137943.png","1ZZH833"

"06/06/19","14:23:10","datasets/ofaj_1559811188343.png","7711833"

"06/06/19","14:24:14","datasets/ofaj_1559811252899.png","12ZH833"

"06/06/19","14:24:50","datasets/ofaj_1559811287972.png","IZZH833"

"06/06/19","14:26:57","datasets/ofaj_1559811415043.png","7714833"

"06/06/19","14:33:39","datasets/ofaj_1559811817726.png","1ZZH833"

"06/06/19","14:34:05","datasets/ofaj_1559811843251.png","1ZZH833"

"06/06/19","14:34:19","datasets/ofaj_1559811857796.png","1ZZH833"

"06/06/19","14:34:29","datasets/ofaj_1559811868101.png","1ZZH833"

"06/06/19","14:34:34","datasets/ofaj_1559811872403.png","1ZZH833"
"06/06/19","17:35:59","datasets/ofaj_1559822753770.png","1ZZH833"
